task,ckpt,con,dR,lo,hi,vmin,vmax,width,npos,nzero,nneg,both,opp,catchg,maxdev,se1,ratio
3-cube,42,NFE4-NFE1,9.0278,0.8681,17.1875,4.1667,14.5833,10.4167,9,0,0,False,False,True,5.5556,4.5802,1.9711
3-cube,43,NFE4-NFE1,2.7778,-6.4236,11.9792,-3.1250,7.2917,10.4167,7,1,1,True,True,True,5.9028,4.3089,0.6447
3-cube,44,NFE4-NFE1,6.2500,-1.5668,14.0668,3.1250,8.3333,5.2083,9,0,0,False,False,True,3.1250,4.7609,1.3128
3-cube,42,NFE4-NFE2,1.7361,-6.7708,10.2431,-2.0833,4.1667,6.2500,7,1,1,True,True,False,3.8194,4.5802,0.3790
3-cube,43,NFE4-NFE2,0.6944,-8.3333,9.7222,-6.2500,6.2500,12.5000,4,2,3,True,True,True,6.9444,4.3089,0.1612
3-cube,44,NFE4-NFE2,2.7778,-4.6875,10.2431,-1.0417,6.2500,7.2917,6,1,2,True,True,True,3.8194,4.7609,0.5835
3-cube,42,NFE2-NFE1,7.2917,-1.7361,16.3194,3.1250,13.5417,10.4167,9,0,0,False,False,True,6.2500,4.5802,1.5920
3-cube,43,NFE2-NFE1,2.0833,-7.1181,11.2847,-3.1250,7.2917,10.4167,6,1,2,True,True,True,5.2083,4.3089,0.4835
3-cube,44,NFE2-NFE1,3.4722,-4.6875,11.6319,-2.0833,8.3333,10.4167,7,1,1,True,True,True,5.5556,4.7609,0.7293
4-cube,42,NFE4-NFE2,7.2917,-3.4722,18.0556,-1.0417,13.5417,14.5833,8,0,1,True,True,True,8.3333,6.0441,1.2064
4-cube,43,NFE4-NFE2,3.4722,-7.8125,14.7569,-2.0833,9.3750,11.4583,7,0,2,True,True,True,5.9028,5.8309,0.5955
4-cube,44,NFE4-NFE2,2.7778,-7.6389,13.1944,-4.1667,9.3750,13.5417,6,0,3,True,True,True,6.9444,6.2500,0.4444
